Year;Source;Label_Source;Target;Label_Target;Value
2010;0;Afghanistan;10;France;790
2010;0;Afghanistan;11;Germany;6065
2010;0;Afghanistan;12;Sweden;2390
2010;0;Afghanistan;13;Belgium;1825
2010;0;Afghanistan;14;United Kingdom;1945
2010;0;Afghanistan;15;Switzerland;675
2010;0;Afghanistan;16;Netherlands;1585
2010;0;Afghanistan;17;Austria;1590
2010;0;Afghanistan;18;Greece;520
2010;0;Afghanistan;19;Norway;975
2010;1;Russia;10;France;4695
2010;1;Russia;11;Germany;1410
2010;1;Russia;12;Sweden;975
2010;1;Russia;13;Belgium;2730
2010;1;Russia;14;United Kingdom;100
2010;1;Russia;15;Switzerland;350
2010;1;Russia;16;Netherlands;245
2010;1;Russia;17;Austria;2330
2010;1;Russia;18;Greece;95
2010;1;Russia;19;Norway;630
2010;2;Serbia;10;France;790
2010;2;Serbia;11;Germany;6795
2010;2;Serbia;12;Sweden;6250
2010;2;Serbia;13;Belgium;2215
2010;2;Serbia;14;United Kingdom;0
2010;2;Serbia;15;Switzerland;910
2010;2;Serbia;16;Netherlands;60
2010;2;Serbia;17;Austria;355
2010;2;Serbia;18;Greece;10
2010;2;Serbia;19;Norway;195
2010;3;Irak;10;France;445
2010;3;Irak;11;Germany;5950
2010;3;Irak;12;Sweden;1995
2010;3;Irak;13;Belgium;1995
2010;3;Irak;14;United Kingdom;600
2010;3;Irak;15;Switzerland;665
2010;3;Irak;16;Netherlands;1900
2010;3;Irak;17;Austria;340
2010;3;Irak;18;Greece;340
2010;3;Irak;19;Norway;455
2010;4;Somalia;10;France;420
2010;4;Somalia;11;Germany;2265
2010;4;Somalia;12;Sweden;5630
2010;4;Somalia;13;Belgium;320
2010;4;Somalia;14;United Kingdom;705
2010;4;Somalia;15;Switzerland;340
2010;4;Somalia;16;Netherlands;3665
2010;4;Somalia;17;Austria;200
2010;4;Somalia;18;Greece;140
2010;4;Somalia;19;Norway;1395
2010;5;Kosovo;10;France;5285
2010;5;Kosovo;11;Germany;2200
2010;5;Kosovo;12;Sweden;1715
2010;5;Kosovo;13;Belgium;3230
2010;5;Kosovo;14;United Kingdom;40
2010;5;Kosovo;15;Switzerland;595
2010;5;Kosovo;16;Netherlands;55
2010;5;Kosovo;17;Austria;605
2010;5;Kosovo;18;Greece;0
2010;5;Kosovo;19;Norway;245
2010;6;Iran;10;France;405
2010;6;Iran;11;Germany;2975
2010;6;Iran;12;Sweden;1195
2010;6;Iran;13;Belgium;510
2010;6;Iran;14;United Kingdom;2305
2010;6;Iran;15;Switzerland;320
2010;6;Iran;16;Netherlands;855
2010;6;Iran;17;Austria;390
2010;6;Iran;18;Greece;125
2010;6;Iran;19;Norway;430
2010;7;Pakistan;10;France;915
2010;7;Pakistan;11;Germany;930
2010;7;Pakistan;12;Sweden;115
2010;7;Pakistan;13;Belgium;365
2010;7;Pakistan;14;United Kingdom;2130
2010;7;Pakistan;15;Switzerland;100
2010;7;Pakistan;16;Netherlands;70
2010;7;Pakistan;17;Austria;270
2010;7;Pakistan;18;Greece;2745
2010;7;Pakistan;19;Norway;105
2010;8;Nigeria;10;France;810
2010;8;Nigeria;11;Germany;770
2010;8;Nigeria;12;Sweden;320
2010;8;Nigeria;13;Belgium;160
2010;8;Nigeria;14;United Kingdom;1130
2010;8;Nigeria;15;Switzerland;1975
2010;8;Nigeria;16;Netherlands;185
2010;8;Nigeria;17;Austria;560
2010;8;Nigeria;18;Greece;395
2010;8;Nigeria;19;Norway;360
2010;9;Northern Macedonia;10;France;595
2010;9;Northern Macedonia;11;Germany;3555
2010;9;Northern Macedonia;12;Sweden;900
2010;9;Northern Macedonia;13;Belgium;1745
2010;9;Northern Macedonia;14;United Kingdom;5
2010;9;Northern Macedonia;15;Switzerland;415
2010;9;Northern Macedonia;16;Netherlands;385
2010;9;Northern Macedonia;17;Austria;195
2010;9;Northern Macedonia;18;Greece;0
2010;9;Northern Macedonia;19;Norway;95
2011;0;Afghanistan;10;France;685
2011;0;Afghanistan;11;Germany;7955
2011;0;Afghanistan;12;Italy;1425
2011;0;Afghanistan;13;Belgium;3195
2011;0;Afghanistan;14;Sweden;4125
2011;0;Afghanistan;15;United Kingdom;1630
2011;0;Afghanistan;16;Switzerland;1095
2011;0;Afghanistan;17;Netherlands;2395
2011;0;Afghanistan;18;Austria;3630
2011;0;Afghanistan;19;Greece;640
2011;1;Russia;10;France;4480
2011;1;Russia;11;Germany;1875
2011;1;Russia;12;Italy;15
2011;1;Russia;13;Belgium;2680
2011;1;Russia;14;Sweden;915
2011;1;Russia;15;United Kingdom;100
2011;1;Russia;16;Switzerland;245
2011;1;Russia;17;Netherlands;520
2011;1;Russia;18;Austria;2320
2011;1;Russia;19;Greece;60
2011;2;Pakistan;10;France;1475
2011;2;Pakistan;11;Germany;2630
2011;2;Pakistan;12;Italy;2560
2011;2;Pakistan;13;Belgium;1010
2011;2;Pakistan;14;Sweden;180
2011;2;Pakistan;15;United Kingdom;3950
2011;2;Pakistan;16;Switzerland;115
2011;2;Pakistan;17;Netherlands;135
2011;2;Pakistan;18;Austria;945
2011;2;Pakistan;19;Greece;2315
2011;3;Irak;10;France;265
2011;3;Irak;11;Germany;6190
2011;3;Irak;12;Italy;345
2011;3;Irak;13;Belgium;2210
2011;3;Irak;14;Sweden;1640
2011;3;Irak;15;United Kingdom;440
2011;3;Irak;16;Switzerland;515
2011;3;Irak;17;Netherlands;2005
2011;3;Irak;18;Austria;480
2011;3;Irak;19;Greece;255
2011;4;Serbia;10;France;665
2011;4;Serbia;11;Germany;6980
2011;4;Serbia;12;Italy;205
2011;4;Serbia;13;Belgium;1990
2011;4;Serbia;14;Sweden;2645
2011;4;Serbia;15;United Kingdom;0
2011;4;Serbia;16;Switzerland;1430
2011;4;Serbia;17;Netherlands;95
2011;4;Serbia;18;Austria;200
2011;4;Serbia;19;Greece;5
2011;5;Somalia;10;France;760
2011;5;Somalia;11;Germany;1010
2011;5;Somalia;12;Italy;1380
2011;5;Somalia;13;Belgium;530
2011;5;Somalia;14;Sweden;4045
2011;5;Somalia;15;United Kingdom;675
2011;5;Somalia;16;Switzerland;665
2011;5;Somalia;17;Netherlands;1995
2011;5;Somalia;18;Austria;615
2011;5;Somalia;19;Greece;70
2011;6;Nigeria;10;France;915
2011;6;Nigeria;11;Germany;800
2011;6;Nigeria;12;Italy;7760
2011;6;Nigeria;13;Belgium;205
2011;6;Nigeria;14;Sweden;345
2011;6;Nigeria;15;United Kingdom;1070
2011;6;Nigeria;16;Switzerland;1975
2011;6;Nigeria;17;Netherlands;145
2011;6;Nigeria;18;Austria;395
2011;6;Nigeria;19;Greece;355
2011;7;Iran;10;France;200
2011;7;Iran;11;Germany;3775
2011;7;Iran;12;Italy;240
2011;7;Iran;13;Belgium;525
2011;7;Iran;14;Sweden;1120
2011;7;Iran;15;United Kingdom;3095
2011;7;Iran;16;Switzerland;425
2011;7;Iran;17;Netherlands;1185
2011;7;Iran;18;Austria;460
2011;7;Iran;19;Greece;245
2011;8;Kosovo;10;France;3235
2011;8;Kosovo;11;Germany;1885
2011;8;Kosovo;12;Italy;120
2011;8;Kosovo;13;Belgium;2320
2011;8;Kosovo;14;Sweden;1325
2011;8;Kosovo;15;United Kingdom;20
2011;8;Kosovo;16;Switzerland;665
2011;8;Kosovo;17;Netherlands;25
2011;8;Kosovo;18;Austria;340
2011;8;Kosovo;19;Greece;0
2011;9;Eritrea;10;France;935
2011;9;Eritrea;11;Germany;645
2011;9;Eritrea;12;Italy;530
2011;9;Eritrea;13;Belgium;75
2011;9;Eritrea;14;Sweden;1705
2011;9;Eritrea;15;United Kingdom;850
2011;9;Eritrea;16;Switzerland;3440
2011;9;Eritrea;17;Netherlands;500
2011;9;Eritrea;18;Austria;20
2011;9;Eritrea;19;Greece;40
2012;0;Afghanistan;10;Germany;7830
2012;0;Afghanistan;11;France;570
2012;0;Afghanistan;12;Sweden;4765
2012;0;Afghanistan;13;Switzerland;1385
2012;0;Afghanistan;14;Belgium;3285
2012;0;Afghanistan;15;United Kingdom;1330
2012;0;Afghanistan;16;Austria;4010
2012;0;Afghanistan;17;Italy;1495
2012;0;Afghanistan;18;Netherlands;1540
2012;0;Afghanistan;19;Poland;100
2012;1;Syria;10;Germany;7920
2012;1;Syria;11;France;645
2012;1;Syria;12;Sweden;7925
2012;1;Syria;13;Switzerland;1225
2012;1;Syria;14;Belgium;1025
2012;1;Syria;15;United Kingdom;1260
2012;1;Syria;16;Austria;935
2012;1;Syria;17;Italy;355
2012;1;Syria;18;Netherlands;560
2012;1;Syria;19;Poland;105
2012;2;Russia;10;Germany;3420
2012;2;Russia;11;France;6015
2012;2;Russia;12;Sweden;940
2012;2;Russia;13;Switzerland;340
2012;2;Russia;14;Belgium;2655
2012;2;Russia;15;United Kingdom;165
2012;2;Russia;16;Austria;3120
2012;2;Russia;17;Italy;25
2012;2;Russia;18;Netherlands;815
2012;2;Russia;19;Poland;6085
2012;3;Serbia;10;Germany;12810
2012;3;Serbia;11;France;840
2012;3;Serbia;12;Sweden;2675
2012;3;Serbia;13;Switzerland;1885
2012;3;Serbia;14;Belgium;1095
2012;3;Serbia;15;United Kingdom;0
2012;3;Serbia;16;Austria;305
